model_path,output_len,timestamp,evicted_token
Qwen/Qwen3-1.7B,2048,2025-11-22 14:56:10,59
Qwen/Qwen3-1.7B,2048,2025-11-22 14:56:11,59
Qwen/Qwen3-1.7B,2048,2025-11-22 14:56:11,59
Qwen/Qwen3-1.7B,2048,2025-11-22 14:56:11,59
Qwen/Qwen3-1.7B,2048,2025-11-22 14:56:11,59
Qwen/Qwen3-1.7B,2048,2025-11-22 14:56:11,1373
Qwen/Qwen3-1.7B,2048,2025-11-22 14:56:11,60
Qwen/Qwen3-1.7B,2048,2025-11-22 14:56:12,60
Qwen/Qwen3-1.7B,2048,2025-11-22 14:56:12,60
Qwen/Qwen3-1.7B,2048,2025-11-22 14:56:12,60
Qwen/Qwen3-1.7B,2048,2025-11-22 14:56:12,60
Qwen/Qwen3-1.7B,2048,2025-11-22 14:56:12,60
Qwen/Qwen3-1.7B,2048,2025-11-22 14:56:12,60
Qwen/Qwen3-1.7B,2048,2025-11-22 14:56:13,60
Qwen/Qwen3-1.7B,2048,2025-11-22 14:56:13,60
Qwen/Qwen3-1.7B,2048,2025-11-22 14:56:13,60
Qwen/Qwen3-1.7B,2048,2025-11-22 14:56:13,60
Qwen/Qwen3-1.7B,2048,2025-11-22 14:56:13,1410
Qwen/Qwen3-1.7B,2048,2025-11-22 14:56:14,1569
Qwen/Qwen3-1.7B,2048,2025-11-22 14:56:14,1589
Qwen/Qwen3-1.7B,2048,2025-11-22 14:56:14,2995
Qwen/Qwen3-1.7B,2048,2025-11-22 14:56:14,1660
Qwen/Qwen3-1.7B,2048,2025-11-22 14:56:14,1685
Qwen/Qwen3-1.7B,2048,2025-11-22 14:56:15,1585
Qwen/Qwen3-1.7B,2048,2025-11-22 14:56:15,67
Qwen/Qwen3-1.7B,2048,2025-11-22 14:56:15,67
Qwen/Qwen3-1.7B,2048,2025-11-22 14:56:15,376
Qwen/Qwen3-1.7B,2048,2025-11-22 14:56:15,71
Qwen/Qwen3-1.7B,2048,2025-11-22 14:56:15,503
Qwen/Qwen3-1.7B,2048,2025-11-22 14:56:15,74
Qwen/Qwen3-1.7B,2048,2025-11-22 14:56:15,74
Qwen/Qwen3-1.7B,2048,2025-11-22 14:56:15,74
Qwen/Qwen3-1.7B,2048,2025-11-22 14:56:16,75
Qwen/Qwen3-1.7B,2048,2025-11-22 14:56:16,767
Qwen/Qwen3-1.7B,2048,2025-11-22 14:56:16,635
Qwen/Qwen3-1.7B,2048,2025-11-22 14:56:16,94
Qwen/Qwen3-1.7B,2048,2025-11-22 14:56:16,94
Qwen/Qwen3-1.7B,2048,2025-11-22 14:56:16,102
Qwen/Qwen3-1.7B,2048,2025-11-22 14:56:16,102
Qwen/Qwen3-1.7B,2048,2025-11-22 14:56:16,107
Qwen/Qwen3-1.7B,2048,2025-11-22 14:56:16,106
Qwen/Qwen3-1.7B,2048,2025-11-22 14:56:16,2859
Qwen/Qwen3-1.7B,2048,2025-11-22 14:56:17,1735
Qwen/Qwen3-1.7B,2048,2025-11-22 14:56:17,117
Qwen/Qwen3-1.7B,2048,2025-11-22 14:56:17,116
Qwen/Qwen3-1.7B,2048,2025-11-22 14:56:17,120
Qwen/Qwen3-1.7B,2048,2025-11-22 14:56:17,120
Qwen/Qwen3-1.7B,2048,2025-11-22 14:56:17,2500
Qwen/Qwen3-1.7B,2048,2025-11-22 14:56:17,2873
Qwen/Qwen3-1.7B,2048,2025-11-22 14:56:17,2993
Qwen/Qwen3-1.7B,2048,2025-11-22 14:56:17,128
Qwen/Qwen3-1.7B,2048,2025-11-22 14:56:17,4396
Qwen/Qwen3-1.7B,2048,2025-11-22 14:56:18,2477
Qwen/Qwen3-1.7B,2048,2025-11-22 14:56:18,133
Qwen/Qwen3-1.7B,2048,2025-11-22 14:56:18,2542
Qwen/Qwen3-1.7B,2048,2025-11-22 14:56:18,135
Qwen/Qwen3-1.7B,2048,2025-11-22 14:56:18,135
Qwen/Qwen3-1.7B,2048,2025-11-22 14:56:18,135
Qwen/Qwen3-1.7B,2048,2025-11-22 14:56:19,135
Qwen/Qwen3-1.7B,2048,2025-11-22 14:56:19,133
Qwen/Qwen3-1.7B,2048,2025-11-22 14:56:19,133
Qwen/Qwen3-1.7B,2048,2025-11-22 14:56:19,132
Qwen/Qwen3-1.7B,2048,2025-11-22 14:56:19,132
Qwen/Qwen3-1.7B,2048,2025-11-22 14:56:19,132
Qwen/Qwen3-1.7B,2048,2025-11-22 14:56:20,132
Qwen/Qwen3-1.7B,2048,2025-11-22 14:56:20,132
Qwen/Qwen3-1.7B,2048,2025-11-22 14:56:20,132
Qwen/Qwen3-1.7B,2048,2025-11-22 14:56:20,131
Qwen/Qwen3-1.7B,2048,2025-11-22 14:56:20,131
Qwen/Qwen3-1.7B,2048,2025-11-22 14:56:21,129
Qwen/Qwen3-1.7B,2048,2025-11-22 14:56:21,129
Qwen/Qwen3-1.7B,2048,2025-11-22 14:56:21,129
Qwen/Qwen3-1.7B,2048,2025-11-22 14:56:21,129
Qwen/Qwen3-1.7B,2048,2025-11-22 14:56:21,129
Qwen/Qwen3-1.7B,2048,2025-11-22 14:56:21,129
Qwen/Qwen3-1.7B,2048,2025-11-22 14:56:21,129
Qwen/Qwen3-1.7B,2048,2025-11-22 14:56:21,128
Qwen/Qwen3-1.7B,2048,2025-11-22 14:56:22,128
Qwen/Qwen3-1.7B,2048,2025-11-22 14:56:22,127
Qwen/Qwen3-1.7B,2048,2025-11-22 14:56:22,127
