model_path,max_num_seqs,mean_cc,min_cc,max_cc,std_dev_cc,cv_cc
meta-llama/Llama-3.2-3B,32,7487.608,6545.64,8076.46,630.868921306161,0.08425506801453304
meta-llama/Llama-3.2-3B,64,12290.03,11085.23,13109.44,983.2496653190377,0.08000384582617279
meta-llama/Llama-3.2-3B,128,19468.666,17538.15,20800.57,1572.649025602979,0.08077846862250235
meta-llama/Llama-3.2-3B,256,16036.418,15719.92,16334.93,255.87737369685473,0.015956017964663616
meta-llama/Llama-3.2-3B,512,24536.748,23325.81,26512.93,1209.4519726181775,0.049291453481047166
meta-llama/Llama-3.2-3B,1024,29696.526,28333.44,30530.87,954.1353150523255,0.032129526364542624
meta-llama/Llama-3.2-3B,2048,25942.985999999997,21068.31,29945.39,3182.2248935186835,0.1226622445665539
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,1,244.32000000000002,232.8,255.29,11.442782878303678,0.0468352278908959
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,2,465.50666666666666,452.06,476.39,11.64017468368353,0.025005387714497857
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,4,903.8000000000001,859.43,945.67,44.6227000527758,0.049372316942659686
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,8,1789.2216666666666,1677.69,1937.7,111.15097505945083,0.06212252910313005
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,16,3379.1299999999997,3167.82,3657.13,215.70203262834605,0.06383359995867158
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,32,6003.376666666667,5555.36,6409.28,412.0409551326989,0.068634866344557
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,64,10230.448333333334,9371.36,10876.56,585.2676648651161,0.05720840825305472
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,128,15529.393333333333,14038.7,16292.42,926.7173995920583,0.05967505489109413
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,256,10952.67,10639.69,11326.89,237.5466828225563,0.02168847256628344
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,512,16966.463333333333,16419.67,17477.31,351.4529330460438,0.020714566503412565
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,1024,23050.686666666665,22457.05,23587.31,492.33102318122087,0.021358627198432865
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,2048,22558.11666666667,21238.79,23638.6,1130.935671144325,0.0501343125339656
