model_path,max_num_seqs,mean_noncc,min_noncc,max_noncc,std_dev_noncc,cv_noncc
meta-llama/Llama-3.1-8B,1,193.26166666666666,192.96,193.52,0.2352374686708398,0.0012171967298438757
meta-llama/Llama-3.1-8B,2,384.78999999999996,384.45,385.24,0.32569924777317516,0.0008464337632816811
meta-llama/Llama-3.1-8B,4,751.4183333333334,750.09,752.6,1.0055131359990443,0.001338153584220577
meta-llama/Llama-3.1-8B,8,1455.95,1452.76,1459.31,2.493423349533707,0.001712574847717098
meta-llama/Llama-3.1-8B,16,2748.3033333333333,2742.98,2759.28,5.8512517179375285,0.0021290414514910207
meta-llama/Llama-3.1-8B,32,4714.681666666666,4693.93,4733.62,15.655135153254514,0.00332050735555237
meta-llama/Llama-3.1-8B,64,8091.001666666667,7973.34,8148.72,67.19861737168912,0.00830535206148011
meta-llama/Llama-3.1-8B,128,11569.938333333334,11385.8,11684.05,121.77046463189079,0.010524728924532531
meta-llama/Llama-3.1-8B,256,14538.35,14349.42,14915.03,208.2919502045142,0.014327069454547096
meta-llama/Llama-3.1-8B,512,15602.041666666666,15434.15,15802.04,141.62148444592358,0.009077112308223962
meta-llama/Llama-3.1-8B,1024,16186.218333333332,15800.8,16557.88,277.1247106568933,0.017121028825256374
meta-llama/Llama-3.1-8B,2048,14059.035,12723.03,14651.78,901.307323706329,0.06410876164020714
meta-llama/Llama-3.2-3B,1,362.32666666666665,361.5,362.83,0.48992516435336325,0.0013521642468675274
meta-llama/Llama-3.2-3B,2,710.1733333333333,709.19,711.97,1.2057307604381031,0.0016977978527844466
meta-llama/Llama-3.2-3B,4,1368.2116666666668,1362.06,1373.93,4.633890014519931,0.0033868224686384183
meta-llama/Llama-3.2-3B,8,2618.2450000000003,2610.02,2628.85,8.452811958159126,0.003228426659139705
meta-llama/Llama-3.2-3B,16,4978.4766666666665,4950.92,5022.48,26.407305554839436,0.005304294329960284
meta-llama/Llama-3.2-3B,32,8036.19,7932.37,8154.57,90.4427308300673,0.011254429129981668
meta-llama/Llama-3.2-3B,64,13769.256666666666,13606.84,14105.15,203.22957852307442,0.014759662300076326
meta-llama/Llama-3.2-3B,128,19434.95666666667,19069.18,19858.92,296.5360917437643,0.015257872545317281
meta-llama/Llama-3.2-3B,256,22835.431666666667,22256.53,23557.62,469.2024435322842,0.02054712388980975
meta-llama/Llama-3.2-3B,512,23513.495,21386.46,25182.39,1817.9822608457985,0.07731654783118368
meta-llama/Llama-3.2-3B,1024,20749.59833333333,16274.58,26749.68,4678.184277924146,0.22545902830363931
meta-llama/Llama-3.2-3B,2048,16780.4775,11551.55,20725.67,3828.9949997127183,0.22818152819028648
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,1,289.86833333333334,288.77,290.65,0.6483029127396287,0.002236542727121901
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,2,575.6183333333333,574.75,576.26,0.5993802354655093,0.0010412806555249185
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,4,1108.2533333333333,1106.95,1110.41,1.4036191316261102,0.0012665146942571243
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,8,2126.39,2122.63,2134.34,4.229250524620249,0.001988934543813781
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,16,4008.5266666666666,3995.34,4019.4,9.650331945931597,0.002407451103214535
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,32,7024.8550000000005,6937.27,7060.27,49.49111021183494,0.007045143310692527
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,64,11245.885,11079.78,11381.89,114.97815875199926,0.010224020497453008
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,128,15686.716666666667,15437.23,15827.87,133.17532168786641,0.008489687454536364
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,256,19000.455,18530.31,19312.41,278.6310625719964,0.014664441592161665
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,512,19823.245,18976.12,20089.83,446.08661431385826,0.02250320844613776
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,1024,17509.09,14673.14,21187.76,2366.7854558620215,0.13517466960658844
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,2048,17676.19,15119.56,19483.62,2172.049251306242,0.12287994479049165
