model_path,max_num_seqs,successful_requests,total_input_tokens,total_output_tokens,request_throughput,input_token_throughput,output_token_throughput,total_token_throughput,mean_e2e_latency,median_e2e_latency,p25_e2e_latency,p75_e2e_latency,p99_e2e_latency,mean_ttft,median_ttft,p25_ttft,p75_ttft,p99_ttft,mean_tpot,median_tpot,p25_tpot,p75_tpot,p99_tpot,mean_itl,median_itl,p25_itl,p75_itl,p99_itl
meta-llama/Llama-3.2-3B,16,5000,640000,640000,15.83,2025.99,2025.99,4051.97,159316.59,159600.89,82327.42,236737.41,310882.96,158349.44,158636.28,81356.27,235764.95,309916.64,7.62,7.63,7.60,7.65,8.58,1253.85,7.50,7.35,7.64,22.72
meta-llama/Llama-3.2-3B,8,5000,640000,640000,8.71,1114.25,1114.25,2228.49,290919.18,291375.89,150349.84,432369.56,567434.55,290023.78,290462.82,149438.71,431497.15,566558.39,7.05,6.97,6.89,7.18,7.49,2288.24,6.96,6.79,7.11,20.67
meta-llama/Llama-3.2-3B,4,5000,640000,640000,4.53,580.48,580.48,1160.96,552958.19,552847.60,279151.57,826968.99,1089998.30,552096.00,551983.76,278290.38,826111.34,1089136.48,6.79,6.79,6.76,6.81,6.89,4347.47,6.72,6.57,6.85,19.98
meta-llama/Llama-3.2-3B,2,5000,640000,640000,2.25,288.10,288.10,576.21,1114053.72,1113494.45,561899.53,1668088.44,2197040.22,1113184.33,1112636.02,561024.45,1667219.68,2196164.10,6.85,6.85,6.79,6.89,7.01,8755.46,6.86,6.73,6.96,20.27
meta-llama/Llama-3.2-3B,1,5000,640000,640000,1.15,147.08,147.08,294.17,2188725.03,2197825.86,1102734.81,3277760.49,4307614.30,2187872.07,2196986.45,1101851.75,3276874.47,4306780.44,6.72,6.63,6.57,6.89,7.04,17199.52,6.69,6.53,6.91,19.57
meta-llama/Llama-3.1-8B,2048,5000,640000,640000,63.96,8186.45,8186.45,16372.90,55346.55,61834.70,36522.10,68294.35,76541.05,31635.00,35147.81,11343.18,42933.26,67181.45,186.71,201.72,197.49,210.24,267.67,436.01,142.65,115.79,219.12,821.76
meta-llama/Llama-3.1-8B,1024,5000,640000,640000,67.27,8610.81,8610.81,17221.62,46987.43,47883.70,32942.96,62818.07,72268.14,33862.68,34374.28,19092.54,49045.68,63672.28,103.34,108.23,105.42,108.58,110.89,370.24,73.92,70.34,81.90,690.59
meta-llama/Llama-3.1-8B,512,5000,640000,640000,64.76,8289.19,8289.19,16578.38,44698.07,42961.34,27574.21,63489.48,75596.57,37795.07,35855.20,20522.53,56457.67,71659.36,54.35,55.60,55.37,55.96,58.32,352.12,39.48,37.93,40.74,365.20
meta-llama/Llama-3.1-8B,256,5000,640000,640000,59.39,7602.46,7602.46,15204.91,45730.88,44964.86,25515.49,64646.19,82427.93,42013.11,41524.80,21749.62,60911.59,80238.77,29.27,29.31,29.17,29.56,31.70,360.26,22.40,21.67,23.21,311.60
meta-llama/Llama-3.1-8B,128,5000,640000,640000,44.68,5719.46,5719.46,11438.92,58280.68,58270.91,31638.92,84755.78,108795.48,55785.49,55867.35,29219.19,82270.11,106560.21,19.65,19.54,19.09,19.83,22.12,470.02,16.86,16.45,17.32,292.18
meta-llama/Llama-3.1-8B,64,5000,640000,640000,29.15,3731.34,3731.34,7462.68,87742.51,88699.34,46317.42,128864.84,168399.98,85794.79,86755.36,44440.12,126977.29,166514.51,15.34,15.24,14.84,15.96,16.90,693.21,14.49,14.13,14.89,207.50
meta-llama/Llama-3.1-8B,32,5000,640000,640000,17.60,2252.35,2252.35,4504.71,143917.19,144639.07,75563.54,213712.28,279173.73,142263.06,142994.92,73894.89,212070.74,277526.02,13.02,12.95,12.93,12.98,14.32,1135.26,12.92,12.69,13.09,38.85
meta-llama/Llama-3.1-8B,16,5000,640000,640000,9.81,1255.11,1255.11,2510.21,256961.94,257594.33,131931.64,382785.13,503551.02,255404.57,256030.21,130370.96,381245.61,502016.05,12.26,12.23,12.18,12.29,12.72,2026.73,12.11,11.95,12.36,36.71
meta-llama/Llama-3.1-8B,8,5000,640000,640000,5.24,670.31,670.31,1340.62,480116.78,480104.53,243348.98,717129.31,944097.79,478621.76,478609.75,241853.25,715642.53,942618.64,11.77,11.76,11.72,11.81,12.17,3784.93,11.68,11.49,11.90,35.00
meta-llama/Llama-3.1-8B,4,5000,640000,640000,2.68,342.40,342.40,684.80,937174.79,937780.61,472253.35,1402203.58,1849308.01,935701.14,936297.98,470777.39,1400725.54,1847841.13,11.60,11.61,11.57,11.64,11.73,7385.90,11.55,11.34,11.77,34.58
meta-llama/Llama-3.1-8B,2,5000,640000,640000,1.36,173.99,173.99,347.97,1841239.58,1840370.25,922777.96,2759759.29,3640534.50,1839786.44,1838919.98,921329.26,2758252.80,3639099.61,11.44,11.44,11.39,11.47,11.85,14510.06,11.43,11.20,11.68,34.15
meta-llama/Llama-3.1-8B,1,5000,640000,640000,0.68,87.24,87.24,174.47,3664556.33,3664002.75,1834851.21,5492553.02,7260846.94,3663109.94,3662561.21,1833409.22,5491105.91,7259396.42,11.39,11.38,11.34,11.42,11.80,28873.42,11.38,11.16,11.61,34.06
meta-llama/Llama-3.2-3B,2048,5000,640000,640000,99.86,12781.64,12781.64,25563.27,34290.39,35570.42,24698.58,37570.19,48447.54,21037.99,23185.95,7110.58,37536.09,40349.80,104.35,97.99,79.03,137.38,145.66,274.27,100.07,74.26,119.05,536.13
meta-llama/Llama-3.2-3B,1024,5000,640000,640000,95.31,12200.30,12200.30,24400.61,31633.86,31129.55,22944.38,46351.88,50346.03,23343.09,25693.15,14033.54,35958.49,46224.37,65.28,70.76,65.80,74.42,82.08,250.46,59.02,54.77,68.62,362.54
meta-llama/Llama-3.2-3B,512,5000,640000,640000,93.27,11939.14,11939.14,23878.28,30760.26,30525.08,18865.53,41509.02,51201.13,26118.60,24081.80,14208.17,38663.07,47672.91,36.55,36.58,34.12,37.81,54.40,243.03,30.23,28.76,34.23,371.34
meta-llama/Llama-3.2-3B,256,5000,640000,640000,83.77,10723.15,10723.15,21446.29,32726.90,32129.78,18881.12,45990.01,58031.29,30066.59,29484.64,16088.34,43291.69,56425.65,20.95,21.17,20.71,22.07,23.89,259.07,18.22,16.83,20.28,217.52
meta-llama/Llama-3.2-3B,128,5000,640000,640000,69.39,8881.80,8881.80,17763.60,38177.22,38222.07,21706.73,54699.41,69526.59,36556.69,36664.27,20151.02,53083.27,68026.65,12.76,12.68,12.35,13.05,14.40,311.79,11.39,10.97,11.92,131.68
meta-llama/Llama-3.2-3B,64,5000,640000,640000,47.18,6039.07,6039.07,12078.15,55039.38,55589.51,30710.14,79467.51,103053.08,53814.06,54334.74,29501.31,78247.49,101846.19,9.65,9.55,9.49,9.66,12.98,434.32,8.99,8.77,9.23,70.43
meta-llama/Llama-3.2-3B,32,5000,640000,640000,28.89,3697.60,3697.60,7395.20,88774.60,89374.30,48242.41,130311.26,169085.29,87739.70,88344.89,47191.95,129294.77,168061.95,8.15,8.07,8.01,8.23,9.19,699.65,7.84,7.65,8.00,45.04
meta-llama/Llama-3.2-3B,16,5000,640000,640000,16.32,2089.51,2089.51,4179.02,155570.21,155881.72,81306.14,230188.43,301869.30,154631.78,154955.86,80387.06,229255.46,300945.23,7.39,7.34,7.30,7.38,8.69,1224.10,7.25,7.09,7.43,21.98
meta-llama/Llama-3.2-3B,8,5000,640000,640000,8.81,1127.72,1127.72,2255.44,285492.23,285350.81,145195.39,425715.75,560473.61,284606.30,284463.15,144311.72,424831.36,559591.18,6.98,6.96,6.94,7.00,7.36,2245.36,6.90,6.76,7.01,20.49
meta-llama/Llama-3.2-3B,4,5000,640000,640000,4.38,560.20,560.20,1120.40,574844.30,576557.64,293563.29,857402.18,1129351.39,573951.42,575683.22,292667.48,856491.53,1128441.96,7.03,7.05,6.88,7.17,7.31,4519.20,6.96,6.81,7.08,20.44
meta-llama/Llama-3.2-3B,2,5000,640000,640000,2.33,297.62,297.62,595.24,1078330.19,1079322.37,541044.02,1614268.66,2127199.69,1077487.33,1078484.04,540204.96,1613421.31,2126346.47,6.64,6.62,6.60,6.65,6.90,8474.97,6.64,6.49,6.77,19.64
meta-llama/Llama-3.2-3B,1,5000,640000,640000,1.16,148.28,148.28,296.56,2158233.33,2152833.90,1081277.22,3241826.58,4272511.62,2157387.29,2151948.09,1080450.12,3240952.94,4271686.24,6.66,6.59,6.53,6.84,6.97,16959.59,6.65,6.48,6.86,19.47
